name	lon	lat
Ir	-21.85	57.55
Kv	-127.30	36.52
Ch	1.44	51.15
Jb	2.30	53.23
Cn	2.78	56.48
Yj	3.09	40.52
Sa	25.13	36.99
Ys	3.09	40.52
Ro	4.25	40.43
65	4.25	40.43
6a	4.25	40.43
61	4.25	40.43
Ce	4.37	40.45
Bs	4.50	48.41
Hf	15.20	64.27
Az	25.66	37.74
Ft	38.43	-3.88
It	46.56	-23.18
Oh	57.90	-63.32
Ag	57.93	-34.91
Sc	64.58	17.76
Be	64.67	32.36
Ar	66.25	18.23
Se	70.73	-29.26
St	70.67	-33.15
Hs	71.49	42.62
Ss	71.49	42.61
Sb	75.92	45.08
Wf	71.49	42.61
Hn	71.99	42.93
Qb	72.34	42.39
Tc	73.04	-36.82
Gg	76.83	39.02
Gs	76.83	39.02
Md	77.23	38.37
Ap	78.07	45.96
G1	79.83	38.44
G3	79.84	38.43
Gb	79.84	38.44
Gn	79.83	38.44
Gt	79.84	38.44
Ri	80.38	25.61
Mi	80.38	25.61
Cg	85.11	33.57
Bo	86.50	39.18
Nl	91.57	41.77
Le	95.80	35.91
Au	97.70	30.34
Fd	103.94	30.64
H7	103.95	30.64
Hr	103.95	30.64
Mt	104.02	30.68
Pl	104.73	40.18
Ms	105.86	46.40
La	106.25	35.78
Y1	107.62	34.08
Pt	108.12	34.30
Ve	109.57	40.33
Kt	111.61	31.95
Kp	111.61	31.96
Fl	111.63	35.21
Yu	114.20	32.94
Ye	114.47	62.48
Yk	114.48	62.48
El	114.84	39.29
Bb	115.72	33.66
Oc	115.80	32.79
Dm	116.28	34.26
Me	116.42	32.89
Pn	116.46	33.61
Gv	116.79	35.25
13	116.79	35.25
15	116.89	35.42
Mo	116.89	35.33
Mq	116.89	35.33
14	116.89	35.43
Pb	117.92	34.51
J1	118.17	34.21
Ov	118.28	37.23
Oo	118.28	37.23
Or	118.29	37.23
Pv	118.40	33.74
Ml	118.95	37.64
Sp	119.00	34.39
Pe	119.62	49.32
Br	119.68	48.13
Vb	120.62	34.56
Qu	120.94	39.97
Hc	121.47	40.82
Fs	121.77	36.59
Fo	121.77	36.67
S1	122.25	47.69
Pf	122.46	37.81
Pr	122.94	38.10
Vi	123.49	48.39
Wt	135.08	60.71
Ya	142.49	60.08
So	145.48	62.66
Gc	147.50	64.98
Ko	152.50	57.74
Mk	155.46	19.80
Hk	156.26	20.71
Ku	159.67	22.13
Kk	159.67	22.13
K2	159.66	22.13
Sn	160.48	55.35
Nm	165.37	64.56
Ww	185.17	-36.60
Kw	192.52	9.40
Mr	206.02	24.29
At	210.43	-30.31
Mp	210.90	-31.27
Ti	211.02	-35.40
34	211.02	-35.40
36	211.02	-35.40
45	211.02	-35.40
Pa	211.74	-33.00
Hb	212.56	-42.80
Ho	212.56	-42.80
Cc	217.81	27.10
Tj	217.81	27.10
Si	218.16	43.53
S3	218.16	43.53
Mz	218.80	39.11
Mn	218.87	39.13
Vm	218.87	39.13
Is	219.78	36.21
K1	219.34	35.96
Kb	219.34	35.96
Ka	219.34	35.95
Tk	219.91	36.11
Ts	219.91	36.11
N6	221.53	35.94
No	221.53	35.94
Ud	221.64	36.13
Sj	221.82	34.68
Gi	223.26	35.46
Cd	226.19	-31.87
Us	228.24	44.02
My	228.52	32.09
Da	228.77	25.83
Kz	220.05	35.26
Kg	220.51	35.71
K3	220.51	35.71
Mu	220.35	35.21
Ta	220.35	35.21
Ke	227.85	-14.38
Ai	229.40	31.82
Uc	-131.08	31.25
Vs	235.87	24.40
Sg	238.57	31.19
Sh	238.80	31.10
T6	238.86	31.09
Yg	244.65	-29.05
Km	257.20	24.88
Ur	272.82	43.47
Sy	320.42	-69.01
Sm	326.02	44.40
Sv	330.22	60.53
Zc	318.43	43.79
Bd	257.76	51.77
Hh	332.31	-25.89
Ht	332.32	-25.89
Mh	335.62	60.24
Tn	341.06	69.66
Tr	341.44	53.10
Ma	343.30	40.65
Nt	345.01	36.88
Ki	345.71	51.21
Kr	346.39	53.98
Wz	347.12	49.15
Wn	347.12	49.15
Ws	347.12	49.15
Tg	347.12	49.15
Tl	347.62	61.42
Ny	348.13	78.93
On	348.07	57.40
O8	348.08	57.39
Oe	348.08	57.39
Ow	348.08	57.39
Mc	348.35	44.52
Hg	349.52	53.05
Hp	348.98	47.80
Gr	353.08	43.75
Eb	353.12	50.52
Wb	353.37	52.92
Dw	353.41	52.92
To	358.52	43.56
M2	348.07	57.40
